equipo,local,visitante,fecha_hora,competicion,fecha_consulta
Arsenal de Sarandí,Arsenal,Ferro,sábado 09/08/2025 - 15:00,Desconocida,2025-08-05 09:02:30
Gimnasia y Esgrima Mendoza,Dep. Morón,Gimnasia (M),domingo 10/08/2025 - 16:30,Desconocida,2025-08-05 09:02:30
Club Puebla,Montréal,Club Puebla,martes 05/08/2025 - 21:00,Desconocida,2025-08-05 09:02:30
Club atletico Tigre,Tigre,Huracán,viernes 08/08/2025 - 19:00,Desconocida,2025-08-05 09:02:30
CA Chacarita Juniors,CADU (Zárate),Chacarita Jrs.,sábado 09/08/2025 - 15:30,Desconocida,2025-08-05 09:02:30
CA Los Andes,Gimnasia y Tiro,Los Andes,domingo 10/08/2025 - 17:00,Desconocida,2025-08-05 09:02:30
Volos NPS,PAS Giannina,Volos NPS,domingo 17/08/2025 - 19:00,Desconocida,2025-08-05 09:02:30
CA Boston River,CSyD Paso,Boston River,martes 05/08/2025 - 19:00,Desconocida,2025-08-05 09:02:30
Club Deportivo Maldonado,Porongos,CD Maldonado,martes 05/08/2025 - 19:00,Desconocida,2025-08-05 09:02:30
Círculo Deportivo,Circulo Dep.,Guillermo Brown,domingo 10/08/2025 - 11:00,Desconocida,2025-08-05 09:02:30
CA Platense,Instituto ACC,Platense,domingo 10/08/2025 - 17:00,Desconocida,2025-08-05 09:02:30
CA Nueva Chicago,Talleres RE,Nueva Chicago,sábado 09/08/2025 - 15:30,Desconocida,2025-08-05 09:02:30
Real Pilar FC,Acassuso,Real Pilar,sábado 16/08/2025 - 11:00,Desconocida,2025-08-05 09:02:30
CSD Tristán Suárez,Dep. Maipú,Tristán Suárez,sábado 09/08/2025 - 15:00,Desconocida,2025-08-05 09:02:30
CA Barracas Central,Barracas,Aldosivi,domingo 10/08/2025 - 15:00,Desconocida,2025-08-05 09:02:30
Barcelona SC Guayaquil,CD El Nacional,Barcelona SC,domingo 10/08/2025 - 20:00,Desconocida,2025-08-05 09:02:30
CS Dock Sud,Arg. de Merlo,Dock Sud,sábado 16/08/2025 - 11:00,Desconocida,2025-08-05 09:02:30
Club Atlético Tucumán,Atl. Tucumán,Rosario Central,sábado 09/08/2025 - 20:45,Desconocida,2025-08-05 09:02:30
Liverpool FC Montevideo,AA Durazno FC,Liverpool FC,martes 05/08/2025 - 19:00,Desconocida,2025-08-05 09:02:30
CA Rosario Central,Atl. Tucumán,Rosario Central,sábado 09/08/2025 - 20:45,Desconocida,2025-08-05 09:02:30
Club atletico San Martín San Juan,San Martín (SJ),Sarmiento,sábado 09/08/2025 - 14:30,Desconocida,2025-08-05 09:02:30
AD Union Magadalena,Union Magdalena,Deportivo Pasto,miércoles 06/08/2025 - 20:00,Desconocida,2025-08-05 09:02:30
