equipo,local,visitante,fecha_hora,competicion
Arsenal de Sarandí,Arsenal,Ferro,"sábado, 09/08/2025 - 15:00",Desconocida
Gimnasia y Esgrima Mendoza,Dep. Morón,Gimnasia (M),"domingo, 29/06/2025 - 14:00",Desconocida
Club Puebla,Montréal,Club Puebla,"martes, 05/08/2025 - 21:00",Desconocida
Club atletico Tigre,Tigre,Huracán,"viernes, 08/08/2025 - 19:00",Desconocida
CA Chacarita Juniors,CADU (Zárate),Chacarita Jrs.,"sábado, 09/08/2025 - 15:30",Desconocida
CA Los Andes,Error,Error,Error,Error
Volos NPS,PAS Giannina,Volos NPS,"domingo, 17/08/2025 - 19:00",Desconocida
CA Boston River,CSyD Paso,Boston River,"martes, 05/08/2025 - 19:00",Desconocida
Club Deportivo Maldonado,Porongos,CD Maldonado,"martes, 05/08/2025 - 19:00",Desconocida
Círculo Deportivo,Circulo Dep.,Guillermo Brown,"domingo, 10/08/2025 - 11:00",Desconocida
CA Platense,Instituto ACC,Platense,"domingo, 10/08/2025 - 17:00",Desconocida
CA Nueva Chicago,Error,Error,Error,Error
Real Pilar FC,Acassuso,Real Pilar,"sábado, 16/08/2025 - 11:00",Desconocida
CSD Tristán Suárez,Dep. Maipú,Tristán Suárez,"sábado, 09/08/2025 - 15:00",Desconocida
CA Barracas Central,Barracas,Aldosivi,"domingo, 10/08/2025 - 15:00",Desconocida
Barcelona SC Guayaquil,CD El Nacional,Barcelona SC,"domingo, 10/08/2025 - 20:00",Desconocida
CS Dock Sud,Arg. de Merlo,Dock Sud,"sábado, 16/08/2025 - 11:00",Desconocida
Club Atlético Tucumán,Atl. Tucumán,Rosario Central,"sábado, 09/08/2025 - 20:45",Desconocida
Liverpool FC Montevideo,AA Durazno FC,Liverpool FC,"martes, 05/08/2025 - 19:00",Desconocida
CA Rosario Central,Atl. Tucumán,Rosario Central,"sábado, 09/08/2025 - 20:45",Desconocida
Club atletico San Martín San Juan,San Martín (SJ),Sarmiento,"sábado, 09/08/2025 - 14:30",Desconocida
