equipo,local,visitante,fecha_hora,competicion,Proximo Rival,fecha_consulta
Arsenal de Sarandí,Arsenal,Ferro,"sábado, 09/08/2025 - 15:00",Desconocida,Ferro,2025-08-05 12:02:00
AD Union Magdalena,Union Magdalena,Deportivo Pasto,"miércoles, 06/08/2025 - 20:00",Desconocida,Deportivo Pasto,2025-08-05 12:02:00
Gimnasia y Esgrima Mendoza,Dep. Morón,Gimnasia (M),"domingo, 29/06/2025 - 14:00",Desconocida,Dep. Morón,2025-08-05 12:02:00
Club Puebla,Montréal,Club Puebla,"martes, 05/08/2025 - 21:00",Desconocida,Montréal,2025-08-05 12:02:00
Club atletico Tigre,Tigre,Huracán,"viernes, 08/08/2025 - 19:00",Desconocida,Huracán,2025-08-05 12:02:00
CA Chacarita Juniors,CADU (Zárate),Chacarita Jrs.,"sábado, 09/08/2025 - 15:30",Desconocida,CADU (Zárate),2025-08-05 12:02:00
CA Los Andes,Gimnasia y Tiro,Los Andes,"domingo, 10/08/2025 - 17:00",Desconocida,Gimnasia y Tiro,2025-08-05 12:02:00
Volos NPS,PAS Giannina,Volos NPS,"domingo, 17/08/2025 - 19:00",Desconocida,PAS Giannina,2025-08-05 12:02:00
CA Boston River,CSyD Paso,Boston River,"martes, 05/08/2025 - 19:00",Desconocida,CSyD Paso,2025-08-05 12:02:00
Club Deportivo Maldonado,Porongos,CD Maldonado,"martes, 05/08/2025 - 19:00",Desconocida,Porongos,2025-08-05 12:02:00
Círculo Deportivo,Circulo Dep.,Guillermo Brown,"domingo, 10/08/2025 - 11:00",Desconocida,Guillermo Brown,2025-08-05 12:02:00
CA Platense,Instituto ACC,Platense,"domingo, 10/08/2025 - 17:00",Desconocida,Instituto ACC,2025-08-05 12:02:00
CA Nueva Chicago,Talleres RE,Nueva Chicago,"sábado, 09/08/2025 - 15:30",Desconocida,Talleres RE,2025-08-05 12:02:00
Real Pilar FC,Acassuso,Real Pilar,"sábado, 16/08/2025 - 11:00",Desconocida,Acassuso,2025-08-05 12:02:00
CSD Tristán Suárez,Dep. Maipú,Tristán Suárez,"sábado, 09/08/2025 - 15:00",Desconocida,Dep. Maipú,2025-08-05 12:02:00
CA Barracas Central,Barracas,Aldosivi,"domingo, 10/08/2025 - 15:00",Desconocida,Aldosivi,2025-08-05 12:02:00
Barcelona SC Guayaquil,CD El Nacional,Barcelona SC,"domingo, 10/08/2025 - 20:00",Desconocida,CD El Nacional,2025-08-05 12:02:00
CS Dock Sud,Arg. de Merlo,Dock Sud,"sábado, 16/08/2025 - 11:00",Desconocida,Arg. de Merlo,2025-08-05 12:02:00
Club Atlético Tucumán,Atl. Tucumán,Rosario Central,"sábado, 09/08/2025 - 20:45",Desconocida,Rosario Central,2025-08-05 12:02:00
Liverpool FC Montevideo,AA Durazno FC,Liverpool FC,"martes, 05/08/2025 - 19:00",Desconocida,AA Durazno FC,2025-08-05 12:02:00
CA Rosario Central,Atl. Tucumán,Rosario Central,"sábado, 09/08/2025 - 20:45",Desconocida,Atl. Tucumán,2025-08-05 12:02:00
Club atletico San Martín San Juan,San Martín (SJ),Sarmiento,"sábado, 09/08/2025 - 14:30",Desconocida,Sarmiento,2025-08-05 12:02:00
